date,lastvalue,difference
2003-01-02,1187.8,0
2003-01-03,1190.5,2.7
2003-01-06,1196.1,5.6
2003-01-07,1191.6,-4.5
2003-01-08,1187.2,-4.4
2003-01-09,1188.6,1.4
2003-01-10,1179.5,-9.1
2003-01-13,1180.3,0.8
2003-01-14,1177,-3.3
2003-01-15,1176.5,-0.5
2003-01-16,1173.7,-2.8
2003-01-17,1173.4,-0.3
2003-01-20,1173.6,0.2
2003-01-21,1174.2,0.6
2003-01-22,1177.2,3
2003-01-23,1175.6,-1.6
2003-01-24,1178.2,2.6
2003-01-27,1171.9,-6.3
2003-01-28,1170.4,-1.5
2003-01-29,1170.9,0.5
2003-01-30,1170.5,-0.4
2003-02-03,1170.9,0.4
2003-02-04,1177.6,6.7
2003-02-05,1179.8,2.2
2003-02-06,1174.1,-5.7
2003-02-07,1177.1,3
2003-02-10,1179.9,2.8
2003-02-11,1192.8,12.9
2003-02-12,1207.8,15
2003-02-13,1202.9,-4.9
2003-02-14,1202.7,-0.2
2003-02-17,1201.4,-1.3
2003-02-18,1207.2,5.8
2003-02-19,1202.4,-4.8
2003-02-20,1198.4,-4
2003-02-21,1196.4,-2
2003-02-24,1194.1,-2.3
2003-02-25,1192.6,-1.5
2003-02-26,1191.1,-1.5
2003-02-27,1187.7,-3.4
2003-02-28,1186.8,-0.9
2003-03-03,1190.3,3.5
2003-03-04,1194.3,4
2003-03-05,1193.2,-1.1
2003-03-06,1194.9,1.7
2003-03-07,1208.1,13.2
2003-03-10,1218,9.9
2003-03-11,1229.1,11.1
2003-03-12,1236.7,7.6
2003-03-13,1237.3,0.6
2003-03-14,1247.9,10.6
2003-03-17,1241,-6.9
2003-03-18,1241.6,0.6
2003-03-19,1249.6,8
2003-03-20,1255.6,6
2003-03-21,1253.8,-1.8
2003-03-24,1249.6,-4.2
2003-03-25,1251.1,1.5
2003-03-26,1246.1,-5
2003-03-27,1244.8,-1.3
2003-03-28,1244.6,-0.2
2003-03-31,1252.9,8.3
2003-04-01,1258,5.1
2003-04-02,1254.3,-3.7
2003-04-03,1253.9,-0.4
2003-04-04,1254.9,1
2003-04-07,1258,3.1
2003-04-08,1257,-1
2003-04-09,1255,-2
2003-04-10,1253.4,-1.6
2003-04-11,1239.8,-13.6
2003-04-14,1226.3,-13.5
2003-04-15,1224.1,-2.2
2003-04-16,1217.3,-6.8
2003-04-17,1216.5,-0.8
2003-04-18,1209.5,-7
2003-04-21,1205,-4.5
2003-04-22,1204.7,-0.3
2003-04-23,1217,12.3
2003-04-24,1219.5,2.5
2003-04-25,1221,1.5
2003-04-28,1234.4,13.4
2003-04-29,1229.4,-5
2003-04-30,1213.1,-16.3
2003-05-02,1213.9,0.8
2003-05-06,1211.1,-2.8
2003-05-07,1205.9,-5.2
2003-05-09,1196.9,-9
2003-05-12,1199.9,3
2003-05-13,1196,-3.9
2003-05-14,1199.8,3.8
2003-05-15,1201.5,1.7
2003-05-16,1195.2,-6.3
2003-05-19,1197.8,2.6
2003-05-20,1193.6,-4.2
2003-05-21,1199.1,5.5
2003-05-22,1193.9,-5.2
2003-05-23,1197.4,3.5
2003-05-26,1193.4,-4
2003-05-27,1194,0.6
2003-05-28,1199.4,5.4
2003-05-29,1200.4,1
2003-05-30,1206.6,6.2
2003-06-02,1205.3,-1.3
2003-06-03,1207.5,2.2
2003-06-04,1202.3,-5.2
2003-06-05,1201.5,-0.8
2003-06-09,1200.8,-0.7
2003-06-10,1200.3,-0.5
2003-06-11,1193.7,-6.6
2003-06-12,1193.1,-0.6
2003-06-13,1194.3,1.2
2003-06-16,1192.7,-1.6
2003-06-17,1191,-1.7
2003-06-18,1188.4,-2.6
2003-06-19,1184.5,-3.9
2003-06-20,1186,1.5
2003-06-23,1190.6,4.6
2003-06-24,1190.9,0.3
2003-06-25,1189.2,-1.7
2003-06-26,1188.5,-0.7
2003-06-27,1186.7,-1.8
2003-06-30,1193.1,6.4
2003-07-01,1194.9,1.8
2003-07-02,1191,-3.9
2003-07-03,1188.1,-2.9
2003-07-04,1185.1,-3
2003-07-07,1182.3,-2.8
2003-07-08,1180,-2.3
2003-07-09,1179.2,-0.8
2003-07-10,1179.6,0.4
2003-07-11,1178.5,-1.1
2003-07-14,1179.2,0.7
2003-07-15,1177,-2.2
2003-07-16,1175.7,-1.3
2003-07-18,1178.8,3.1
2003-07-21,1182.5,3.7
2003-07-22,1179.4,-3.1
2003-07-23,1182,2.6
2003-07-24,1181.4,-0.6
2003-07-25,1180.3,-1.1
2003-07-28,1181.2,0.9
2003-07-29,1179.3,-1.9
2003-07-30,1179.5,0.2
2003-07-31,1180,0.5
2003-08-01,1180.6,0.6
2003-08-04,1180.4,-0.2
2003-08-05,1181.4,1
2003-08-06,1186.1,4.7
2003-08-07,1185.9,-0.2
2003-08-08,1185.5,-0.4
2003-08-11,1181.9,-3.6
