날짜,종가,대비,시가,고가,저가,거래량,거래대금,상장시가총액
2023.1.4,683.67,8.72,670.18,683.67,667.3,901765,5078752,317540886
2023.1.3,674.95,3.44,672.18,675.75,660.32,935984,5089082,313443984
2023.1.2,671.51,-7.78,683.84,688.77,670.38,742767,4368091,311897724
2022.12.29,679.29,-13.08,691.35,693.12,675.8,952158,4811065,315498720
2022.12.28,692.37,-11.82,699.24,699.39,691.01,834832,5137454,321475844
2022.12.27,704.19,9.51,697.25,704.21,697.25,901437,5092351,327910002
2022.12.26,694.68,3.43,691.94,696.96,686.8,797708,4331951,323390641
2022.12.23,691.25,-23.77,704.93,704.93,691.25,1107302,5147798,321813280
2022.12.22,715.02,9.32,710.47,715.35,709.52,851988,4454191,332311677
2022.12.21,705.7,2.57,708.13,709.95,701.61,938032,5181367,327971512
2022.12.20,703.13,-14.09,715.13,715.29,701.44,977951,5388784,326822623
2022.12.19,717.22,-0.19,716.8,722.42,714.63,776383,4424672,333338382
2022.12.16,717.41,-5.27,711.33,720.48,710.2,889444,4729866,333728482
2022.12.15,722.68,-6.32,725.32,730.51,721.46,957408,4765903,335706651
2022.12.14,729,13.84,718.17,729.17,718.17,1082238,5359244,338621742
2022.12.13,715.16,-0.06,717.64,719.33,712.21,1191298,4878762,332194007
2022.12.12,715.22,-4.27,716.88,718.31,714.26,964001,4713130,332248030
2022.12.9,719.49,6.97,717.24,721.14,712.4,1278548,6153962,334174610
2022.12.8,712.52,-5.62,718.37,719.69,711.08,1069811,5819829,330917120
2022.12.7,718.14,-1.3,715.63,722.62,711.63,982851,5033009,333420327
2022.12.6,719.44,-13.88,726.32,727.34,719.29,926869,5019200,333769907
2022.12.5,733.32,0.37,736.45,739.77,731.07,1058483,5258241,339917270
2022.12.2,732.95,-7.65,740.13,740.18,732.41,856591,6105784,339643001
2022.12.1,740.6,11.06,740.97,744.56,739.16,825110,5758034,343075080
2022.11.30,729.54,2,726.56,729.54,722.4,813569,5003808,337947066
2022.11.29,727.54,9.64,715.02,727.6,713.26,794008,4828376,336927388
2022.11.28,717.9,-15.66,731.81,731.81,717.13,878677,5419028,332414215
2022.11.25,733.56,-4.66,737.46,737.53,732.48,710329,4723353,339637553
2022.11.24,738.22,12.63,729.41,738.7,729.41,793574,5222187,341717147
2022.11.23,725.59,13.33,718.29,725.64,718.29,830056,5035913,335667395
2022.11.22,712.26,-6.31,716.24,719.8,711.92,895809,5004878,329829715
2022.11.21,718.57,-13.35,733,733.65,717.55,981797,5315208,332699337
2022.11.18,731.92,-5.62,738.34,742.17,731.53,1297151,6078255,338951690
2022.11.17,737.54,-5.56,740.62,742.29,735.04,978991,5746482,340965032
2022.11.16,743.1,-1.86,746.55,746.62,737.87,1186546,6517655,343209334
2022.11.15,744.96,15.42,730.33,744.96,730.33,1130886,6639307,344193559
2022.11.14,729.54,-1.68,732.29,734.73,728.81,1100846,6717777,337140902
2022.11.11,731.22,23.44,727.22,732.12,724.53,1079377,7471802,337264814
2022.11.10,707.78,-6.82,708.49,712.48,705.7,1041902,6157828,326431031
2022.11.9,714.6,1.27,715.19,717.09,711.15,931480,5824932,329414677
2022.11.8,713.33,12.85,703.36,713.33,703.36,846230,5810477,328769979
2022.11.7,700.48,6.59,696.22,700.49,695.1,722344,4651071,322884895
