날짜,종가,대비,시가,고가,저가,거래량,거래대금,상장시가총액
2023.1.4,2255.98,37.3,2205.98,2260.06,2198.82,412841,6487598,1783808766
2023.1.3,2218.68,-6.99,2230.98,2230.98,2180.67,410245,6149083,1753771077
2023.1.2,2225.67,-10.73,2249.95,2259.88,2222.37,346345,5200138,1759241800
2022.12.29,2236.4,-44.05,2265.73,2272.67,2236.38,361194,6036542,1767235221
2022.12.28,2280.45,-52.34,2296.45,2296.45,2276.9,405894,7566893,1801877943
2022.12.27,2332.79,15.65,2327.52,2335.99,2321.48,448499,7126994,1844141209
2022.12.26,2317.14,3.45,2312.54,2321.92,2304.2,427845,5205750,1831727640
2022.12.23,2313.69,-43.04,2325.86,2333.08,2311.9,366989,5935798,1829395536
2022.12.22,2356.73,27.78,2340,2356.73,2335.75,553053,9460859,1863411614
2022.12.21,2328.95,-4.34,2346.39,2347,2325.78,329724,5102490,1840550909
2022.12.20,2333.29,-18.88,2344.73,2353.86,2324.66,358771,5335838,1844296008
2022.12.19,2352.17,-7.85,2350.78,2358.76,2342.28,323987,5018052,1859031541
2022.12.16,2360.02,-0.95,2329.75,2360.44,2326.83,414172,7206180,1865107455
2022.12.15,2360.97,-38.28,2383.83,2392.11,2360.95,375386,6134217,1865842784
2022.12.14,2399.25,26.85,2380.81,2400.18,2379.44,409799,5724107,1895655041
2022.12.13,2372.4,-0.62,2385.05,2388.27,2364.87,447565,6659361,1874838728
2022.12.12,2373.02,-16.02,2373.58,2381.87,2368.47,499225,5822260,1875700661
2022.12.9,2389.04,17.96,2382.73,2390.08,2367.25,315674,7220198,1888379556
2022.12.8,2371.08,-11.73,2386.9,2387.95,2357.2,351939,7552997,1873438918
2022.12.7,2382.81,-10.35,2385.87,2394.88,2377.98,332587,6080662,1882795765
2022.12.6,2393.16,-26.16,2397.7,2416.88,2390.2,368636,6477022,1891336961
2022.12.5,2419.32,-15.01,2442.17,2442.22,2413.05,385586,7717406,1911915923
