date,lastvalue,difference,diffrate
1997-01-02,88.36,0.18,0.20 
1997-01-03,89.30,0.94,1.06 
1997-01-06,89.11,-0.19,-0.21 
1997-01-07,89.02,-0.09,-0.10 
1997-01-08,89.46,0.44,0.49 
1997-01-09,89.50,0.04,0.04 
1997-01-10,89.78,0.28,0.31 
1997-01-13,89.95,0.17,0.19 
1997-01-14,90.32,0.37,0.41 
1997-01-15,89.91,-0.41,-0.45 
1997-01-16,90.10,0.19,0.21 
1997-01-17,90.86,0.76,0.84 
1997-01-20,91.55,0.69,0.76 
1997-01-21,91.62,0.07,0.08 
1997-01-22,92.47,0.85,0.93 
1997-01-23,92.56,0.09,0.10 
1997-01-24,92.12,-0.44,-0.48 
1997-01-27,92.77,0.65,0.71 
1997-01-28,93.16,0.39,0.42 
1997-01-29,93.02,-0.14,-0.15 
1997-01-30,92.83,-0.19,-0.20 
1997-01-31,93.04,0.21,0.23 
1997-02-03,93.09,0.05,0.05 
1997-02-04,93.24,0.15,0.16 
1997-02-05,93.32,0.08,0.09 
1997-02-06,93.47,0.15,0.16 
1997-02-07,93.68,0.21,0.22 
1997-02-10,93.52,-0.16,-0.17 
1997-02-11,94.25,0.73,0.78 
1997-02-12,94.71,0.46,0.49 
1997-02-13,94.80,0.09,0.10 
1997-02-14,94.91,0.11,0.12 
1997-02-17,95.24,0.33,0.35 
1997-02-18,95.09,-0.15,-0.16 
1997-02-19,95.53,0.44,0.46 
1997-02-20,94.91,-0.62,-0.65 
1997-02-21,95.04,0.13,0.14 
1997-02-24,94.29,-0.75,-0.79 
1997-02-25,94.26,-0.03,-0.03 
1997-02-26,94.94,0.68,0.72 
1997-02-27,94.87,-0.07,-0.07 
1997-02-28,94.89,0.02,0.02 
1997-03-03,95.39,0.5,0.53 
1997-03-04,96.08,0.69,0.72 
1997-03-05,95.92,-0.16,-0.17 
1997-03-06,95.90,-0.02,-0.02 
1997-03-07,96.12,0.22,0.23 
1997-03-10,95.58,-0.54,-0.56 
1997-03-11,95.67,0.09,0.09 
1997-03-12,95.42,-0.25,-0.26 
1997-03-13,96.02,0.6,0.63 
1997-03-14,95.58,-0.44,-0.46 
1997-03-17,95.68,0.1,0.10 
1997-03-18,94.98,-0.7,-0.73 
1997-03-19,95.20,0.22,0.23 
1997-03-20,95.70,0.5,0.53 
1997-03-21,95.28,-0.42,-0.44 
1997-03-24,95.25,-0.03,-0.03 
1997-03-25,95.48,0.23,0.24 
1997-03-26,95.33,-0.15,-0.16 
1997-03-27,94.69,-0.64,-0.67 
1997-03-28,94.69,0,0.00 
1997-03-31,94.72,0.03,0.03 
1997-04-01,94.09,-0.63,-0.67 
1997-04-02,94.75,0.66,0.70 
1997-04-03,94.30,-0.45,-0.47 
1997-04-04,95.12,0.82,0.87 
1997-04-07,96.15,1.03,1.08 
1997-04-08,96.35,0.2,0.21 
1997-04-09,96.92,0.57,0.59 
1997-04-10,96.54,-0.38,-0.39 
1997-04-11,96.57,0.03,0.03 
1997-04-14,96.94,0.37,0.38 
1997-04-15,96.72,-0.22,-0.23 
1997-04-16,96.85,0.13,0.13 
1997-04-17,96.70,-0.15,-0.15 
1997-04-18,96.29,-0.41,-0.42 
1997-04-21,95.80,-0.49,-0.51 
1997-04-22,96.52,0.72,0.75 
1997-04-23,96.44,-0.08,-0.08 
1997-04-24,96.50,0.06,0.06 
1997-04-25,97.04,0.54,0.56 
1997-04-28,97.31,0.27,0.28 
1997-04-29,96.91,-0.4,-0.41 
1997-04-30,97.18,0.27,0.28 
1997-05-01,96.81,-0.37,-0.38 
1997-05-02,97.04,0.23,0.24 
1997-05-05,97.16,0.12,0.12 
1997-05-06,96.51,-0.65,-0.67 
1997-05-07,96.51,0,0.00 
1997-05-08,95.94,-0.57,-0.59 
1997-05-09,94.90,-1.04,-1.08 
1997-05-12,95.46,0.56,0.59 
1997-05-13,94.88,-0.58,-0.61 
1997-05-14,94.50,-0.38,-0.40 
1997-05-15,94.38,-0.12,-0.13 
1997-05-16,94.26,-0.12,-0.13 
1997-05-19,94.68,0.42,0.45 
1997-05-20,93.26,-1.42,-1.50 
1997-05-21,94.01,0.75,0.80 
1997-05-22,94.36,0.35,0.37 
1997-05-23,94.24,-0.12,-0.13 
1997-05-26,94.24,0,0.00 
1997-05-27,94.97,0.73,0.77 
1997-05-28,94.56,-0.41,-0.43 
1997-05-29,94.65,0.09,0.10 
1997-05-30,94.85,0.2,0.21 
1997-06-02,95.73,0.88,0.93 
1997-06-03,95.52,-0.21,-0.22 
1997-06-04,95.73,0.21,0.22 
1997-06-05,95.58,-0.15,-0.16 
1997-06-06,95.52,-0.06,-0.06 
1997-06-09,94.70,-0.82,-0.86 
1997-06-10,94.98,0.28,0.30 
1997-06-11,94.70,-0.28,-0.29 
1997-06-12,95.48,0.78,0.82 
1997-06-13,95.79,0.31,0.32 
1997-06-16,95.43,-0.36,-0.38 
1997-06-17,95.41,-0.02,-0.02 
1997-06-18,95.51,0.1,0.10 
1997-06-19,95.07,-0.44,-0.46 
1997-06-20,95.30,0.23,0.24 
1997-06-23,94.89,-0.41,-0.43 
1997-06-24,95.18,0.29,0.31 
1997-06-25,95.02,-0.16,-0.17 
1997-06-26,94.94,-0.08,-0.08 
1997-06-27,95.55,0.61,0.64 
1997-06-30,95.67,0.12,0.13 
1997-07-01,95.85,0.18,0.19 
1997-07-02,95.86,0.01,0.01 
1997-07-03,95.57,-0.29,-0.30 
1997-07-04,95.74,0.17,0.18 
1997-07-07,95.49,-0.25,-0.26 
1997-07-08,95.84,0.35,0.37 
1997-07-09,95.85,0.01,0.01 
1997-07-10,95.58,-0.27,-0.28 
1997-07-11,96.32,0.74,0.77 
1997-07-14,97.15,0.83,0.86 
1997-07-15,97.26,0.11,0.11 
1997-07-16,97.23,-0.03,-0.03 
1997-07-17,97.47,0.24,0.25 
1997-07-18,97.35,-0.12,-0.12 
1997-07-21,97.45,0.1,0.10 
1997-07-22,98.19,0.74,0.76 
1997-07-23,98.40,0.21,0.21 
1997-07-24,98.87,0.47,0.48 
1997-07-25,99.13,0.26,0.26 
1997-07-28,99.66,0.53,0.53 
1997-07-29,99.62,-0.04,-0.04 
1997-07-30,99.56,-0.06,-0.06 
1997-07-31,99.64,0.08,0.08 
1997-08-01,100.42,0.78,0.78 
1997-08-04,100.61,0.19,0.19 
1997-08-05,101.17,0.56,0.56 
1997-08-06,101.39,0.22,0.22 
1997-08-07,101.03,-0.36,-0.36 
1997-08-08,99.80,-1.23,-1.22 
1997-08-11,100.41,0.61,0.61 
1997-08-12,100.76,0.35,0.35 
1997-08-13,99.67,-1.09,-1.08 
1997-08-14,100.05,0.38,0.38 
1997-08-15,99.34,-0.71,-0.71 
1997-08-18,99.39,0.05,0.05 
1997-08-19,99.89,0.5,0.50 
1997-08-20,100.47,0.58,0.58 
1997-08-21,99.82,-0.65,-0.65 
1997-08-22,99.06,-0.76,-0.76 
1997-08-25,99.26,0.2,0.20 
1997-08-26,98.36,-0.9,-0.91 
1997-08-27,98.60,0.24,0.24 
1997-08-28,98.36,-0.24,-0.24 
1997-08-29,99.00,0.64,0.65 
1997-09-01,99.00,0,0.00 
1997-09-02,100.07,1.07,1.08 
1997-09-03,99.60,-0.47,-0.47 
1997-09-04,99.47,-0.13,-0.13 
1997-09-05,98.78,-0.69,-0.69 
1997-09-08,99.07,0.29,0.29 
1997-09-09,99.05,-0.02,-0.02 
1997-09-10,98.71,-0.34,-0.34 
1997-09-11,97.99,-0.72,-0.73 
1997-09-12,97.73,-0.26,-0.27 
1997-09-15,97.28,-0.45,-0.46 
1997-09-16,97.68,0.4,0.41 
1997-09-17,97.70,0.02,0.02 
1997-09-18,97.99,0.29,0.30 
1997-09-19,97.87,-0.12,-0.12 
1997-09-22,98.43,0.56,0.57 
1997-09-23,98.39,-0.04,-0.04 
1997-09-24,97.49,-0.9,-0.91 
1997-09-25,97.04,-0.45,-0.46 
1997-09-26,97.25,0.21,0.22 
1997-09-29,97.26,0.01,0.01 
1997-09-30,97.11,-0.15,-0.15 
1997-10-01,97.60,0.49,0.50 
1997-10-02,97.64,0.04,0.04 
1997-10-03,97.15,-0.49,-0.50 
1997-10-06,97.12,-0.03,-0.03 
1997-10-07,97.13,0.01,0.01 
1997-10-08,96.69,-0.44,-0.45 
1997-10-09,96.61,-0.08,-0.08 
1997-10-10,96.66,0.05,0.05 
1997-10-13,96.77,0.11,0.11 
1997-10-14,96.95,0.18,0.19 
1997-10-15,96.83,-0.12,-0.12 
1997-10-16,96.49,-0.34,-0.35 
1997-10-17,97.52,1.03,1.07 
1997-10-20,97.49,-0.03,-0.03 
1997-10-21,98.10,0.61,0.63 
1997-10-22,97.98,-0.12,-0.12 
1997-10-23,97.44,-0.54,-0.55 
1997-10-24,97.73,0.29,0.30 
1997-10-27,97.01,-0.72,-0.74 
1997-10-28,96.05,-0.96,-0.99 
1997-10-29,95.77,-0.28,-0.29 
1997-10-30,95.46,-0.31,-0.32 
1997-10-31,95.64,0.18,0.19 
1997-11-03,96.07,0.43,0.45 
1997-11-04,95.54,-0.53,-0.55 
1997-11-05,95.51,-0.03,-0.03 
1997-11-06,95.67,0.16,0.17 
1997-11-07,95.17,-0.5,-0.52 
1997-11-10,95.20,0.03,0.03 
1997-11-11,95.29,0.09,0.09 
1997-11-12,95.76,0.47,0.49 
1997-11-13,96.00,0.24,0.25 
1997-11-14,96.10,0.1,0.10 
1997-11-17,96.19,0.09,0.09 
1997-11-18,96.19,0,0.00 
1997-11-19,96.39,0.2,0.21 
1997-11-20,96.72,0.33,0.34 
1997-11-21,96.57,-0.15,-0.16 
1997-11-24,96.68,0.11,0.11 
1997-11-25,97.23,0.55,0.57 
1997-11-26,97.64,0.41,0.42 
1997-11-27,97.81,0.17,0.17 
1997-11-28,97.79,-0.02,-0.02 
1997-12-01,98.40,0.61,0.62 
1997-12-02,98.32,-0.08,-0.08 
1997-12-03,98.10,-0.22,-0.22 
1997-12-04,98.35,0.25,0.25 
1997-12-05,98.88,0.53,0.54 
1997-12-08,99.24,0.36,0.36 
1997-12-09,99.16,-0.08,-0.08 
1997-12-10,98.98,-0.18,-0.18 
1997-12-11,98.18,-0.8,-0.81 
1997-12-12,98.73,0.55,0.56 
1997-12-15,98.76,0.03,0.03 
1997-12-16,99.06,0.3,0.30 
1997-12-17,98.28,-0.78,-0.79 
1997-12-18,98.47,0.19,0.19 
1997-12-19,98.44,-0.03,-0.03 
1997-12-22,98.83,0.39,0.40 
1997-12-23,98.57,-0.26,-0.26 
1997-12-24,98.51,-0.06,-0.06 
1997-12-25,98.51,0,0.00 
1997-12-26,98.54,0.03,0.03 
1997-12-29,99.10,0.56,0.57 
1997-12-30,99.28,0.18,0.18 
1997-12-31,99.65,0.37,0.37 
1998-01-01,99.65,0,0.00 
1998-01-02,100.10,0.45,0.45 
1998-01-05,101.06,0.96,0.96 
1998-01-06,101.40,0.34,0.34 
1998-01-07,100.64,-0.76,-0.75 
1998-01-08,101.02,0.38,0.38 
1998-01-09,100.93,-0.09,-0.09 
1998-01-12,100.93,0,0.00 
1998-01-13,100.71,-0.22,-0.22 
1998-01-14,100.74,0.03,0.03 
1998-01-15,100.98,0.24,0.24 
1998-01-16,100.92,-0.06,-0.06 
1998-01-19,100.92,0,0.00 
1998-01-20,101.20,0.28,0.28 
1998-01-21,100.24,-0.96,-0.95 
1998-01-22,99.76,-0.48,-0.48 
1998-01-23,98.44,-1.32,-1.32 
1998-01-26,99.16,0.72,0.73 
1998-01-27,99.07,-0.09,-0.09 
1998-01-28,99.82,0.75,0.76 
1998-01-29,100.58,0.76,0.76 
1998-01-30,100.79,0.21,0.21 
1998-02-02,100.27,-0.52,-0.52 
1998-02-03,99.86,-0.41,-0.41 
1998-02-04,99.14,-0.72,-0.72 
1998-02-05,98.55,-0.59,-0.60 
1998-02-06,99.51,0.96,0.97 
1998-02-09,99.93,0.42,0.42 
1998-02-10,99.57,-0.36,-0.36 
1998-02-11,99.84,0.27,0.27 
1998-02-12,99.62,-0.22,-0.22 
1998-02-13,100.12,0.5,0.50 
1998-02-16,100.16,0.04,0.04 
1998-02-17,100.51,0.35,0.35 
1998-02-18,100.17,-0.34,-0.34 
1998-02-19,100.00,-0.17,-0.17 
1998-02-20,100.32,0.32,0.32 
1998-02-23,99.32,-1,-1.00 
1998-02-24,99.35,0.03,0.03 
1998-02-25,100.31,0.96,0.97 
1998-02-26,99.94,-0.37,-0.37 
1998-02-27,99.82,-0.12,-0.12 
1998-03-02,99.58,-0.24,-0.24 
1998-03-03,99.55,-0.03,-0.03 
1998-03-04,99.97,0.42,0.42 
1998-03-05,100.83,0.86,0.86 
1998-03-06,100.72,-0.11,-0.11 
1998-03-09,100.43,-0.29,-0.29 
1998-03-10,100.40,-0.03,-0.03 
1998-03-11,100.58,0.18,0.18 
1998-03-12,100.39,-0.19,-0.19 
1998-03-13,99.87,-0.52,-0.52 
1998-03-16,100.04,0.17,0.17 
1998-03-17,100.05,0.01,0.01 
1998-03-18,100.38,0.33,0.33 
1998-03-19,100.77,0.39,0.39 
1998-03-20,100.57,-0.2,-0.20 
1998-03-23,100.35,-0.22,-0.22 
1998-03-24,100.40,0.05,0.05 
1998-03-25,100.20,-0.2,-0.20 
1998-03-26,99.77,-0.43,-0.43 
1998-03-27,100.31,0.54,0.54 
1998-03-30,101.34,1.03,1.03 
1998-03-31,101.50,0.16,0.16 
1998-04-01,101.71,0.21,0.21 
1998-04-02,101.84,0.13,0.13 
1998-04-03,101.80,-0.04,-0.04 
1998-04-06,101.50,-0.3,-0.29 
1998-04-07,101.22,-0.28,-0.28 
1998-04-08,100.10,-1.12,-1.11 
1998-04-09,100.35,0.25,0.25 
1998-04-10,100.35,0,0.00 
1998-04-13,100.44,0.09,0.09 
1998-04-14,99.51,-0.93,-0.93 
1998-04-15,99.59,0.08,0.08 
1998-04-16,99.81,0.22,0.22 
1998-04-17,99.92,0.11,0.11 
1998-04-20,99.74,-0.18,-0.18 
1998-04-21,99.22,-0.52,-0.52 
1998-04-22,99.28,0.06,0.06 
1998-04-23,99.56,0.28,0.28 
1998-04-24,99.38,-0.18,-0.18 
1998-04-27,99.34,-0.04,-0.04 
1998-04-28,99.62,0.28,0.28 
1998-04-29,99.73,0.11,0.11 
1998-04-30,99.71,-0.02,-0.02 
1998-05-01,99.22,-0.49,-0.49 
1998-05-04,99.24,0.02,0.02 
1998-05-05,98.64,-0.6,-0.60 
1998-05-06,98.80,0.16,0.16 
1998-05-07,98.89,0.09,0.09 
1998-05-08,99.05,0.16,0.16 
