date,lastvalue,difference,diffrate,startvalue,highvalue,lowvalue,volume
1997-01-03,"6,544.09",101.6,1.58,"6,443.70","6,545.63","6,443.65","43,050,000"
1997-01-06,"6,567.18",23.09,0.35,"6,546.00","6,619.13","6,531.00","51,680,000"
1997-01-07,"6,600.66",33.48,0.51,"6,567.60","6,603.35","6,512.53","45,470,000"
1997-01-08,"6,549.48",-51.18,-0.78,"6,600.30","6,627.98","6,536.78","43,040,000"
1997-01-09,"6,625.67",76.19,1.16,"6,547.90","6,657.23","6,544.86","40,440,000"
1997-01-10,"6,703.79",78.12,1.18,"6,623.80","6,708.03","6,557.94","49,590,000"
1997-01-13,"6,709.18",5.39,0.08,"6,706.10","6,734.20","6,669.54","36,300,000"
1997-01-14,"6,762.29",53.11,0.79,"6,709.20","6,788.84","6,707.64","40,130,000"
1997-01-15,"6,726.88",-35.41,-0.52,"6,760.40","6,762.29","6,704.18","42,830,000"
1997-01-16,"6,765.37",38.49,0.57,"6,725.40","6,781.53","6,715.72","43,870,000"
1997-01-17,"6,833.10",67.73,1.00,"6,764.60","6,835.79","6,764.60","46,580,000"
1997-01-20,"6,843.87",10.77,0.16,"6,836.20","6,855.80","6,808.08","34,240,000"
1997-01-21,"6,883.90",40.03,0.58,"6,843.90","6,894.29","6,800.00","48,860,000"
1997-01-22,"6,850.03",-33.87,-0.49,"6,882.40","6,888.13","6,808.08","52,960,000"
1997-01-23,"6,755.75",-94.28,-1.38,"6,850.80","6,906.60","6,742.28","54,650,000"
1997-01-24,"6,696.48",-59.27,-0.88,"6,756.50","6,759.98","6,662.23","56,480,000"
1997-01-27,"6,660.69",-35.79,-0.53,"6,696.50","6,708.80","6,635.68","47,760,000"
1997-01-28,"6,656.08",-4.61,-0.07,"6,663.40","6,761.14","6,622.98","50,600,000"
1997-01-29,"6,740.74",84.66,1.27,"6,657.23","6,740.74","6,657.23","41,190,000"
1997-01-30,"6,823.86",83.12,1.23,"6,740.74","6,823.86","6,740.74","38,880,000"
1997-01-31,"6,813.09",-10.77,-0.16,"6,824.60","6,873.89","6,808.08","41,470,000"
1997-02-03,"6,806.16",-6.93,-0.10,"6,810.80","6,819.24","6,766.91","39,060,000"
1997-02-04,"6,833.48",27.32,0.40,"6,804.20","6,833.48","6,767.68","34,110,000"
1997-02-05,"6,746.90",-86.58,-1.27,"6,833.10","6,875.43","6,710.72","47,390,000"
1997-02-06,"6,773.06",26.16,0.39,"6,743.10","6,773.06","6,713.80","47,520,000"
1997-02-07,"6,855.80",82.74,1.22,"6,775.00","6,868.50","6,762.67","42,200,000"
1997-02-10,"6,806.54",-49.26,-0.72,"6,856.20","6,876.58","6,798.46","40,360,000"
1997-02-11,"6,858.11",51.57,0.76,"6,806.60","6,860.81","6,783.46","39,080,000"
1997-02-12,"6,961.63",103.52,1.51,"6,855.40","6,961.63","6,854.65","42,700,000"
1997-02-13,"7,022.44",60.81,0.87,"6,962.00","7,040.91","6,960.48","44,740,000"
1997-02-14,"6,988.96",-33.48,-0.48,"7,024.00","7,024.75","6,983.95","37,820,000"
1997-02-18,"7,067.46",78.5,1.12,"6,994.00","7,067.46","6,977.41","35,870,000"
1997-02-19,"7,020.13",-47.33,-0.67,"7,062.80","7,073.62","7,010.89","38,330,000"
1997-02-20,"6,927.38",-92.75,-1.32,"7,015.10","7,017.82","6,905.83","34,310,000"
1997-02-21,"6,931.62",4.24,0.06,"6,927.80","6,950.86","6,906.22","38,340,000"
1997-02-24,"7,008.20",76.58,1.10,"6,931.60","7,013.58","6,905.45","35,560,000"
1997-02-25,"7,037.83",29.63,0.42,"7,009.00","7,046.68","6,972.79","40,790,000"
1997-02-26,"6,983.18",-54.65,-0.78,"7,037.10","7,045.53","6,915.45","49,840,000"
1997-02-27,"6,925.07",-58.11,-0.83,"6,982.40","6,989.34","6,920.46","36,230,000"
1997-02-28,"6,877.74",-47.33,-0.68,"6,923.50","6,923.92","6,868.12","41,650,000"
1997-03-03,"6,918.92",41.18,0.60,"6,874.30","6,918.92","6,828.10","46,030,000"
1997-03-04,"6,852.72",-66.2,-0.96,"6,918.50","6,942.78","6,845.41","54,590,000"
1997-03-05,"6,945.85",93.13,1.36,"6,852.00","6,945.85","6,851.19","66,550,000"
1997-03-06,"6,944.70",-1.15,-0.02,"6,947.80","6,987.80","6,937.00","44,030,000"
1997-03-07,"7,000.89",56.19,0.81,"6,944.70","7,018.59","6,944.70","39,030,000"
1997-03-10,"7,079.39",78.5,1.12,"7,001.70","7,079.39","6,993.19","32,750,000"
1997-03-11,"7,085.16",5.77,0.08,"7,079.40","7,112.10","7,063.61","37,680,000"
1997-03-12,"7,039.37",-45.79,-0.65,"7,084.40","7,088.24","7,010.89","36,540,000"
1997-03-13,"6,878.89",-160.48,-2.28,"7,034.37","7,034.37","6,874.66","44,120,000"
1997-03-14,"6,935.46",56.57,0.82,"6,878.51","6,956.63","6,878.51","37,890,000"
1997-03-17,"6,955.48",20.02,0.29,"6,934.30","6,969.45","6,854.27","51,520,000"
1997-03-18,"6,896.56",-58.92,-0.85,"6,954.40","6,970.59","6,854.64","43,240,000"
1997-03-19,"6,877.68",-18.88,-0.27,"6,896.20","6,913.94","6,826.32","51,040,000"
1997-03-20,"6,820.28",-57.4,-0.83,"6,872.40","6,879.57","6,798.37","47,410,000"
1997-03-21,"6,804.79",-15.49,-0.23,"6,819.90","6,851.62","6,790.06","70,970,000"
1997-03-24,"6,905.25",100.46,1.48,"6,805.20","6,906.01","6,783.64","47,960,000"
1997-03-25,"6,876.17",-29.08,-0.42,"6,909.00","6,952.46","6,867.86","51,530,000"
1997-03-26,"6,880.70",4.53,0.07,"6,874.30","6,915.07","6,846.33","47,450,000"
1997-03-27,"6,740.59",-140.11,-2.04,"6,880.00","6,891.28","6,663.92","48,610,000"
1997-03-31,"6,583.48",-157.11,-2.33,"6,739.80","6,739.83","6,561.20","63,290,000"
1997-04-01,"6,611.05",27.57,0.42,"6,583.50","6,621.62","6,522.67","54,790,000"
1997-04-02,"6,517.00",-94.05,-1.42,"6,609.90","6,610.29","6,499.64","47,190,000"
1997-04-03,"6,477.40",-39.6,-0.61,"6,516.30","6,517.39","6,421.46","52,060,000"
1997-04-04,"6,526.10",48.7,0.75,"6,477.40","6,527.21","6,404.84","54,080,000"
1997-04-07,"6,555.90",29.8,0.46,"6,528.70","6,589.14","6,527.21","37,370,000"
1997-04-08,"6,609.20",53.3,0.81,"6,556.70","6,609.54","6,520.03","39,990,000"
1997-04-09,"6,563.80",-45.4,-0.69,"6,610.30","6,639.00","6,546.09","43,950,000"
1997-04-10,"6,540.05",-23.75,-0.36,"6,563.80","6,593.30","6,535.14","41,600,000"
1997-04-11,"6,391.70",-148.35,-2.27,"6,537.70","6,537.70","6,387.00","52,070,000"
1997-04-14,"6,451.90",60.2,0.94,"6,392.10","6,455.11","6,356.78","45,830,000"
1997-04-15,"6,587.16",135.26,2.10,"6,452.70","6,587.16","6,452.70","52,710,000"
1997-04-16,"6,679.87",92.71,1.41,"6,583.10","6,679.87","6,558.66","63,490,000"
1997-04-17,"6,658.60",-21.27,-0.32,"6,677.90","6,713.59","6,648.17","49,890,000"
1997-04-18,"6,703.35",44.75,0.67,"6,657.80","6,711.98","6,657.40","52,060,000"
1997-04-21,"6,660.20",-43.15,-0.64,"6,705.20","6,721.21","6,616.86","43,490,000"
1997-04-22,"6,833.60",173.4,2.60,"6,659.80","6,834.40","6,657.40","59,680,000"
1997-04-23,"6,812.70",-20.9,-0.31,"6,835.20","6,850.05","6,799.08","51,320,000"
1997-04-24,"6,792.30",-20.4,-0.30,"6,813.50","6,890.59","6,777.40","51,400,000"
1997-04-25,"6,738.90",-53.4,-0.79,"6,791.10","6,792.25","6,726.03","43,080,000"
1997-04-28,"6,783.00",44.1,0.65,"6,736.50","6,788.64","6,701.15","43,720,000"
1997-04-29,"6,962.00",179,2.64,"6,783.83","6,970.86","6,783.83","58,750,000"
1997-04-30,"7,009.00",47,0.68,"6,957.60","7,057.55","6,935.54","60,410,000"
1997-05-01,"6,976.50",-32.5,-0.46,"7,008.99","7,008.99","6,913.47","40,180,000"
1997-05-02,"7,071.20",94.7,1.36,"6,978.10","7,077.62","6,976.88","46,350,000"
1997-05-05,"7,213.68",142.48,2.01,"7,070.00","7,215.29","7,056.35","60,160,000"
1997-05-06,"7,225.30",11.62,0.16,"7,215.70","7,269.47","7,187.19","67,150,000"
1997-05-07,"7,085.65",-139.65,-1.93,"7,225.30","7,225.32","7,075.62","46,820,000"
1997-05-08,"7,136.60",50.95,0.72,"7,085.70","7,215.29","7,056.75","55,560,000"
1997-05-09,"7,169.50",32.9,0.46,"7,135.80","7,196.02","7,094.48","47,690,000"
1997-05-12,"7,292.80",123.3,1.72,"7,169.12","7,296.46","7,169.12","52,370,000"
1997-05-13,"7,274.20",-18.6,-0.26,"7,288.60","7,315.83","7,241.65","55,940,000"
1997-05-14,"7,286.20",12,0.16,"7,272.60","7,351.68","7,263.08","46,000,000"
1997-05-15,"7,333.50",47.3,0.65,"7,285.30","7,336.43","7,254.01","44,050,000"
1997-05-16,"7,194.70",-138.8,-1.89,"7,328.60","7,329.01","7,190.55","68,120,000"
1997-05-19,"7,228.90",34.2,0.48,"7,194.30","7,243.30","7,172.42","38,050,000"
1997-05-20,"7,303.50",74.6,1.03,"7,228.10","7,313.35","7,152.64","50,010,000"
1997-05-21,"7,290.70",-12.8,-0.18,"7,299.80","7,352.91","7,239.18","58,380,000"
1997-05-22,"7,258.10",-32.6,-0.45,"7,290.70","7,310.06","7,242.47","41,950,000"
1997-05-23,"7,345.90",87.8,1.21,"7,260.60","7,362.80","7,259.78","39,290,000"
1997-05-27,"7,383.40",37.5,0.51,"7,342.20","7,394.95","7,302.23","49,620,000"
1997-05-28,"7,357.20",-26.2,-0.35,"7,380.80","7,391.14","7,308.72","49,170,000"
1997-05-29,"7,330.20",-27,-0.37,"7,351.70","7,368.81","7,306.57","38,620,000"
1997-05-30,"7,331.00",0.8,0.01,"7,327.60","7,371.39","7,241.76","51,120,000"
