date,lastvalue,difference
2003.1.2,1187.8,0
2003.1.3,1190.5,2.7
2003.1.6,1196.1,5.6
2003.1.7,1191.6,-4.5
2003.1.8,1187.2,-4.4
2003.1.9,1188.6,1.4
2003.1.10,1179.5,-9.1
2003.1.13,1180.3,0.8
2003.1.14,1177,-3.3
2003.1.15,1176.5,-0.5
2003.1.16,1173.7,-2.8
2003.1.17,1173.4,-0.3
2003.1.20,1173.6,0.2
2003.1.21,1174.2,0.6
2003.1.22,1177.2,3
2003.1.23,1175.6,-1.6
2003.1.24,1178.2,2.6
2003.1.27,1171.9,-6.3
2003.1.28,1170.4,-1.5
2003.1.29,1170.9,0.5
2003.1.30,1170.5,-0.4
2003.2.3,1170.9,0.4
2003.2.4,1177.6,6.7
2003.2.5,1179.8,2.2
2003.2.6,1174.1,-5.7
2003.2.7,1177.1,3
2003.2.10,1179.9,2.8
2003.2.11,1192.8,12.9
2003.2.12,1207.8,15
2003.2.13,1202.9,-4.9
2003.2.14,1202.7,-0.2
2003.2.17,1201.4,-1.3
2003.2.18,1207.2,5.8
2003.2.19,1202.4,-4.8
2003.2.20,1198.4,-4
2003.2.21,1196.4,-2
2003.2.24,1194.1,-2.3
2003.2.25,1192.6,-1.5
2003.2.26,1191.1,-1.5
2003.2.27,1187.7,-3.4
2003.2.28,1186.8,-0.9
2003.3.3,1190.3,3.5
2003.3.4,1194.3,4
2003.3.5,1193.2,-1.1
2003.3.6,1194.9,1.7
2003.3.7,1208.1,13.2
2003.3.10,1218,9.9
2003.3.11,1229.1,11.1
2003.3.12,1236.7,7.6
2003.3.13,1237.3,0.6
2003.3.14,1247.9,10.6
2003.3.17,1241,-6.9
2003.3.18,1241.6,0.6
2003.3.19,1249.6,8
2003.3.20,1255.6,6
2003.3.21,1253.8,-1.8
2003.3.24,1249.6,-4.2
2003.3.25,1251.1,1.5
2003.3.26,1246.1,-5
2003.3.27,1244.8,-1.3
2003.3.28,1244.6,-0.2
2003.3.31,1252.9,8.3
2003.4.1,1258,5.1
2003.4.2,1254.3,-3.7
2003.4.3,1253.9,-0.4
2003.4.4,1254.9,1
2003.4.7,1258,3.1
2003.4.8,1257,-1
2003.4.9,1255,-2
2003.4.10,1253.4,-1.6
2003.4.11,1239.8,-13.6
2003.4.14,1226.3,-13.5
2003.4.15,1224.1,-2.2
2003.4.16,1217.3,-6.8
2003.4.17,1216.5,-0.8
2003.4.18,1209.5,-7
2003.4.21,1205,-4.5
2003.4.22,1204.7,-0.3
2003.4.23,1217,12.3
2003.4.24,1219.5,2.5
2003.4.25,1221,1.5
2003.4.28,1234.4,13.4
2003.4.29,1229.4,-5
2003.4.30,1213.1,-16.3
2003.5.2,1213.9,0.8
2003.5.6,1211.1,-2.8
2003.5.7,1205.9,-5.2
2003.5.9,1196.9,-9
2003.5.12,1199.9,3
2003.5.13,1196,-3.9
2003.5.14,1199.8,3.8
2003.5.15,1201.5,1.7
2003.5.16,1195.2,-6.3
2003.5.19,1197.8,2.6
2003.5.20,1193.6,-4.2
2003.5.21,1199.1,5.5
2003.5.22,1193.9,-5.2
2003.5.23,1197.4,3.5
2003.5.26,1193.4,-4
2003.5.27,1194,0.6
2003.5.28,1199.4,5.4
2003.5.29,1200.4,1
2003.5.30,1206.6,6.2
2003.6.2,1205.3,-1.3
2003.6.3,1207.5,2.2
2003.6.4,1202.3,-5.2
2003.6.5,1201.5,-0.8
2003.6.9,1200.8,-0.7
2003.6.10,1200.3,-0.5
2003.6.11,1193.7,-6.6
2003.6.12,1193.1,-0.6
2003.6.13,1194.3,1.2
2003.6.16,1192.7,-1.6
2003.6.17,1191,-1.7
2003.6.18,1188.4,-2.6
2003.6.19,1184.5,-3.9
2003.6.20,1186,1.5
2003.6.23,1190.6,4.6
2003.6.24,1190.9,0.3
2003.6.25,1189.2,-1.7
2003.6.26,1188.5,-0.7
2003.6.27,1186.7,-1.8
2003.6.30,1193.1,6.4
2003.7.1,1194.9,1.8
2003.7.2,1191,-3.9
2003.7.3,1188.1,-2.9
2003.7.4,1185.1,-3
2003.7.7,1182.3,-2.8
2003.7.8,1180,-2.3
2003.7.9,1179.2,-0.8
2003.7.10,1179.6,0.4
2003.7.11,1178.5,-1.1
2003.7.14,1179.2,0.7
2003.7.15,1177,-2.2
2003.7.16,1175.7,-1.3
2003.7.18,1178.8,3.1
2003.7.21,1182.5,3.7
2003.7.22,1179.4,-3.1
2003.7.23,1182,2.6
2003.7.24,1181.4,-0.6
2003.7.25,1180.3,-1.1
2003.7.28,1181.2,0.9
2003.7.29,1179.3,-1.9
2003.7.30,1179.5,0.2
2003.7.31,1180,0.5
2003.8.1,1180.6,0.6
2003.8.4,1180.4,-0.2
2003.8.5,1181.4,1
2003.8.6,1186.1,4.7
2003.8.7,1185.9,-0.2
2003.8.8,1185.5,-0.4
