날짜,종가,대비
2023.1.4,1847.01,6.04
2023.1.3,1840.97,13.56
2023.1.2,1827.41,19.3
2022.12.29,1808.11,-3.12
2022.12.28,1811.22,5.89
2022.12.27,1805.33,-1.98
2022.12.26,1807.31,11.29
2022.12.23,1796.02,-20.29
2022.12.22,1816.3,2.79
2022.12.21,1813.51,20.59
2022.12.20,1792.91,-0.04
2022.12.19,1792.95,10.22
2022.12.16,1782.72,-13.3
2022.12.15,1796.03,-16.42
2022.12.14,1812.44,26.05
2022.12.13,1786.39,-1.24
2022.12.12,1787.63,-7.04
2022.12.9,1794.66,9.06
2022.12.8,1785.6,13.29
2022.12.7,1772.32,1.69
2022.12.6,1770.62,-32.92
2022.12.5,1803.55,4.03
2022.12.2,1799.52,16.91
2022.12.1,1782.61,28.66
2022.11.30,1753.95,-0.19
2022.11.29,1754.14,2.15
2022.11.28,1751.98,-4.58
2022.11.25,1756.57,2.4
2022.11.24,1754.16,16.17
2022.11.23,1737.99,-3.56
2022.11.22,1741.56,-4.08
2022.11.21,1745.63,-17.32
2022.11.18,1762.95,-2.37
2022.11.17,1765.33,-7.62
2022.11.16,1772.94,3.25
2022.11.15,1769.68,8.86
2022.11.14,1760.83,4.96
2022.11.11,1755.87,45.32
2022.11.10,1710.55,0.67
2022.11.9,1709.88,38.63
2022.11.8,1671.26,-0.04
2022.11.7,1671.3,23.12
2022.11.4,1648.18,12.31
2022.11.3,1635.87,-14.48
2022.11.2,1650.35,5.5
2022.11.1,1644.85,2.17
2022.10.31,1642.67,-16.68
2022.10.28,1659.35,-3.05
2022.10.27,1662.4,-1.17
2022.10.26,1663.57,13.06
2022.10.25,1650.51,-4.33
2022.10.24,1654.84,32.38
2022.10.21,1622.46,-7.36
2022.10.20,1629.82,-12.88
2022.10.19,1642.69,-13.46
2022.10.18,1656.15,5.75
2022.10.17,1650.4,-20.6
2022.10.14,1671.01,2.6
2022.10.13,1668.4,-5.92
2022.10.12,1674.33,6.35
2022.10.11,1667.97,-41.59
2022.10.7,1709.56,-13.61
2022.10.6,1723.17,-2.43
2022.10.5,1725.6,21.15
2022.10.4,1704.45,39.38
2022.9.30,1665.07,19.4
2022.9.29,1645.66,22.86
2022.9.28,1622.81,-13.05
2022.9.27,1635.86,-0.52
2022.9.26,1636.38,-36.33
2022.9.23,1672.7,14.1
2022.9.22,1658.6,-12.96
2022.9.21,1671.57,-2.79
2022.9.20,1674.36,8.33
2022.9.19,1666.03,6.04
2022.9.16,1659.98,-27.32
2022.9.15,1687.3,-13.71
2022.9.14,1701.01,-22.83
2022.9.13,1723.84,4.96
2022.9.8,1718.88,20.59
2022.9.7,1698.3,-20.85
2022.9.6,1719.14,8.48
2022.9.5,1710.66,8.25
2022.9.2,1702.41,-3.9
2022.9.1,1706.31,-15.05
2022.8.31,1721.37,-11.84
2022.8.30,1733.2,8.29
2022.8.29,1724.91,-32.88
2022.8.26,1757.8,-2.85
2022.8.25,1760.65,15.61
2022.8.24,1745.05,8.86
2022.8.23,1736.18,-6.03
2022.8.22,1742.21,-14.69
2022.8.19,1756.9,-5.26
2022.8.18,1762.16,-15.62
2022.8.17,1777.79,-2.43
2022.8.16,1780.21,-11.77
2022.8.12,1791.98,7.54
2022.8.11,1784.45,-4.45
2022.8.10,1788.89,3.29
2022.8.9,1785.61,10.76
2022.8.8,1774.86,-14.66
2022.8.5,1789.52,18.73
2022.8.4,1770.78,3.35
2022.8.3,1767.43,-8.32
2022.8.2,1775.75,11.79
2022.8.1,1763.95,-2.15
2022.7.29,1766.1,24.91
2022.7.28,1741.19,22.41
2022.7.27,1718.78,-5.49
2022.7.26,1724.27,-1.74
2022.7.25,1726,7.76
2022.7.22,1718.24,27.81
2022.7.21,1690.43,-16.06
2022.7.20,1706.49,-2.02
2022.7.19,1708.52,-5.09
2022.7.18,1713.61,11.57
2022.7.15,1702.03,-22.52
2022.7.14,1724.55,-0.53
2022.7.13,1725.07,-10.36
2022.7.12,1735.43,-5.12
2022.7.11,1740.56,-2.19
2022.7.8,1742.74,-2.1
2022.7.7,1744.84,-23.67
2022.7.6,1768.51,-40.95
2022.7.5,1809.45,-1.36
2022.7.4,1810.82,13.89
2022.7.1,1796.93,-19.66
2022.6.30,1816.59,-0.07
2022.6.29,1816.66,-12.28
2022.6.28,1828.94,-7.21
2022.6.27,1836.16,13.47
2022.6.24,1822.68,-11.11
2022.6.23,1833.8,7.84
2022.6.22,1825.95,-8.29
2022.6.21,1834.23,-9.37
2022.6.20,1843.6,-2.16
2022.6.17,1845.76,15.68
2022.6.16,1830.08,7.86
2022.6.15,1822.22,-6.91
2022.6.14,1829.13,-34.49
2022.6.13,1863.62,18.32
2022.6.10,1845.31,-4.43
2022.6.9,1849.74,0.7
