date,lastvalue,difference,diffrate,startvalue,highvalue,lowvalue,volume
3.Jan.97,"1,310.68",29.98,2.34,"1,288.02","1,310.84","1,280.70","519,140,000"
6.Jan.97,"1,316.40",5.72,0.44,"1,314.34","1,321.47","1,310.63","588,140,000"
7.Jan.97,"1,327.73",11.33,0.86,"1,316.91","1,327.82","1,312.08","577,740,000"
8.Jan.97,"1,320.35",-7.38,-0.56,"1,329.60","1,330.77","1,319.94","666,490,000"
9.Jan.97,"1,326.20",5.85,0.44,"1,325.23","1,327.24","1,320.33","621,950,000"
10.Jan.97,"1,332.02",5.82,0.44,"1,317.38","1,332.02","1,311.78","659,530,000"
13.Jan.97,"1,330.91",-1.11,-0.08,"1,335.45","1,337.77","1,328.71","612,090,000"
14.Jan.97,"1,346.36",15.45,1.16,"1,337.38","1,349.01","1,330.91","629,070,000"
15.Jan.97,"1,333.53",-12.83,-0.95,"1,347.70","1,347.84","1,333.41","681,170,000"
16.Jan.97,"1,340.46",6.93,0.52,"1,340.14","1,347.39","1,333.53","712,970,000"
17.Jan.97,"1,349.05",8.59,0.64,"1,340.61","1,350.53","1,339.80","673,120,000"
20.Jan.97,"1,364.28",15.23,1.13,"1,351.14","1,365.62","1,349.05","592,380,000"
21.Jan.97,"1,376.97",12.69,0.93,"1,363.44","1,377.49","1,360.61","681,850,000"
22.Jan.97,"1,388.06",11.09,0.81,"1,377.85","1,388.06","1,373.30","720,790,000"
23.Jan.97,"1,378.37",-9.69,-0.70,"1,393.15","1,400.53","1,378.23","795,360,000"
24.Jan.97,"1,363.83",-14.54,-1.05,"1,375.60","1,379.95","1,360.48","721,430,000"
27.Jan.97,"1,352.81",-11.02,-0.81,"1,367.41","1,368.00","1,352.18","537,780,000"
28.Jan.97,"1,354.37",1.56,0.12,"1,365.91","1,370.69","1,349.28","658,960,000"
29.Jan.97,"1,355.17",0.80,0.06,"1,359.32","1,360.76","1,349.54","599,260,000"
30.Jan.97,"1,371.02",15.85,1.17,"1,362.05","1,371.03","1,360.63","653,640,000"
31.Jan.97,"1,379.85",8.83,0.64,"1,374.98","1,381.97","1,374.98","679,190,000"
3.Feb.97,"1,376.05",-3.80,-0.28,"1,383.97","1,384.51","1,374.57","537,540,000"
4.Feb.97,"1,373.75",-2.30,-0.17,"1,376.70","1,377.78","1,362.81","606,160,000"
5.Feb.97,"1,348.44",-25.31,-1.84,"1,373.95","1,375.05","1,339.64","680,460,000"
6.Feb.97,"1,346.40",-2.04,-0.15,"1,351.11","1,351.71","1,340.54","623,490,000"
7.Feb.97,"1,357.71",11.31,0.84,"1,354.91","1,360.53","1,346.29","644,310,000"
10.Feb.97,"1,335.34",-22.37,-1.65,"1,360.46","1,362.21","1,335.34","629,500,000"
11.Feb.97,"1,331.51",-3.83,-0.29,"1,342.11","1,342.71","1,319.69","650,980,000"
12.Feb.97,"1,358.96",27.45,2.06,"1,337.48","1,358.97","1,336.57","669,230,000"
13.Feb.97,"1,370.81",11.85,0.87,"1,364.52","1,373.75","1,358.95","730,410,000"
14.Feb.97,"1,367.19",-3.62,-0.26,"1,370.25","1,373.04","1,364.24","587,210,000"
18.Feb.97,"1,365.79",-1.40,-0.10,"1,369.16","1,370.32","1,358.05","563,710,000"
19.Feb.97,"1,365.58",-0.21,-0.02,"1,366.34","1,370.43","1,362.37","616,100,000"
20.Feb.97,"1,347.40",-18.18,-1.33,"1,362.62","1,365.62","1,345.62","609,670,000"
21.Feb.97,"1,334.32",-13.08,-0.97,"1,346.46","1,347.77","1,332.05","612,770,000"
24.Feb.97,"1,345.08",10.76,0.81,"1,328.40","1,345.34","1,325.16","574,060,000"
25.Feb.97,"1,347.69",2.61,0.19,"1,349.81","1,355.67","1,342.68","700,880,000"
26.Feb.97,"1,340.55",-7.14,-0.53,"1,350.17","1,351.97","1,333.24","640,940,000"
27.Feb.97,"1,312.66",-27.89,-2.08,"1,339.62","1,340.95","1,312.59","673,500,000"
28.Feb.97,"1,309.00",-3.66,-0.28,"1,310.97","1,313.90","1,296.88","686,880,000"
