date,lastvalue,difference,diffrate,startvalue,highvalue,lowvalue,Volume
1997-01-03,748.03,11.02,1.50,737.01,748.24,737.01,"452,970,000"
1997-01-06,747.65,-0.38,-0.05,748.03,753.31,743.82,"531,350,000"
1997-01-07,753.23,5.58,0.75,747.65,753.26,742.18,"538,220,000"
1997-01-08,748.41,-4.82,-0.64,753.23,755.72,747.71,"557,510,000"
1997-01-09,754.85,6.44,0.86,748.41,757.68,748.41,"555,370,000"
1997-01-10,759.5,4.65,0.62,754.85,759.65,746.92,"545,850,000"
1997-01-13,759.51,0.01,0.00,759.5,762.85,756.69,"445,400,000"
1997-01-14,768.86,9.35,1.23,759.51,772.04,759.51,"531,600,000"
1997-01-15,767.2,-1.66,-0.22,768.86,770.95,763.72,"524,990,000"
1997-01-16,769.75,2.55,0.33,767.2,772.05,765.25,"537,290,000"
1997-01-17,776.17,6.42,0.83,769.75,776.37,769.72,"534,640,000"
1997-01-20,776.7,0.53,0.07,776.17,780.08,774.19,"440,470,000"
1997-01-21,782.72,6.02,0.78,776.7,783.72,772,"571,280,000"
1997-01-22,786.23,3.51,0.45,782.72,786.23,779.56,"589,230,000"
1997-01-23,777.56,-8.67,-1.10,786.23,794.67,776.64,"685,070,000"
1997-01-24,770.52,-7.04,-0.91,777.56,778.21,768.17,"542,920,000"
1997-01-27,765.02,-5.5,-0.71,770.52,771.43,764.18,"445,760,000"
1997-01-28,765.02,0,0.00,765.02,776.32,761.75,"541,580,000"
1997-01-29,772.5,7.48,0.98,765.02,772.7,765.02,"498,390,000"
1997-01-30,784.17,11.67,1.51,772.5,784.17,772.5,"524,160,000"
1997-01-31,786.16,1.99,0.25,784.17,791.86,784.17,"578,550,000"
1997-02-03,786.73,0.57,0.07,786.16,787.14,783.12,"463,600,000"
1997-02-04,789.26,2.53,0.32,786.73,789.28,783.68,"506,530,000"
1997-02-05,778.28,-10.98,-1.39,789.26,792.71,773.43,"580,520,000"
1997-02-06,780.15,1.87,0.24,778.28,780.35,774.45,"519,660,000"
1997-02-07,789.56,9.41,1.21,780.15,789.72,778.19,"540,910,000"
